user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,angle,latency,valid,sightType
4,AT004,10,1,right,ID017,right,towards,16,16,4266,True,sighted
4,AT004,11,0,left,ID015,left,towards,-6,6,4640,True,sighted
4,AT004,12,3,right,ID017,left,away,28,28,6726,True,sighted
4,AT004,13,2,right,ID017,right,towards,11,11,6123,True,sighted
4,AT004,14,1,left,ID017,left,towards,-15,15,5190,True,sighted
4,AT004,15,2,right,ID015,left,away,9,9,6217,True,sighted
4,AT004,16,3,right,ID017,right,towards,25,25,7407,True,sighted
4,AT004,17,2,left,ID017,left,towards,-9,9,5639,True,sighted
4,AT004,18,0,left,ID017,left,towards,-7,7,5591,True,sighted
4,AT004,19,1,left,ID015,left,towards,-18,18,6329,True,sighted
4,AT004,20,0,right,ID015,left,away,8,8,6243,True,sighted
4,AT004,21,1,left,ID015,right,away,-13,13,7405,True,sighted
4,AT004,22,1,right,ID015,left,away,14,14,6845,True,sighted
4,AT004,23,2,left,ID015,left,towards,-8,8,4530,True,sighted
4,AT004,24,1,right,ID017,left,away,18,18,6038,True,sighted
4,AT004,25,3,left,ID017,right,away,-29,29,8982,True,sighted
4,AT004,26,0,right,ID017,left,away,8,8,5133,True,sighted
4,AT004,27,0,right,ID015,right,towards,9,9,7316,True,sighted
4,AT004,28,0,left,ID015,right,away,-7,7,4307,True,sighted
4,AT004,29,2,right,ID015,right,towards,10,10,4544,True,sighted
4,AT004,30,3,right,ID015,left,away,30,30,7174,True,sighted
4,AT004,31,3,left,ID015,right,away,-23,23,7873,True,sighted
5,AT004,0,1,right,ID015,right,towards,6,6,122704,True,sighted
5,AT004,1,3,right,ID015,right,towards,5,5,8912,True,sighted
5,AT004,2,0,right,ID015,right,towards,10,10,5304,True,sighted
5,AT004,3,0,left,ID017,left,towards,-9,9,6352,True,sighted
5,AT004,4,3,right,ID017,left,away,19,19,8816,True,sighted
5,AT004,5,2,left,ID017,right,away,-4,4,6127,True,sighted
5,AT004,6,1,left,ID015,right,away,-10,10,4857,True,sighted
5,AT004,7,2,right,ID017,right,towards,5,5,7448,True,sighted
5,AT004,8,2,left,ID015,right,away,-5,5,3328,True,sighted
5,AT004,9,3,left,ID015,right,away,-20,20,15030,True,sighted
5,AT004,10,0,left,ID015,right,away,-4,4,4344,True,sighted
5,AT004,11,2,right,ID015,right,towards,5,5,3679,True,sighted
5,AT004,12,2,right,ID017,left,away,5,5,3864,True,sighted
5,AT004,13,1,left,ID015,left,towards,-15,15,5160,True,sighted
5,AT004,14,0,left,ID015,left,towards,-5,5,2824,True,sighted
5,AT004,15,2,right,ID015,left,away,4,4,3760,True,sighted
5,AT004,16,3,right,ID017,right,towards,11,11,5072,True,sighted
5,AT004,17,1,right,ID015,left,away,7,7,3696,True,sighted
5,AT004,18,1,right,ID017,left,away,6,6,4295,True,sighted
5,AT004,19,0,right,ID017,left,away,4,4,2801,True,sighted
5,AT004,20,0,left,ID017,right,away,-4,4,3935,True,sighted
5,AT004,21,1,left,ID017,right,away,-7,7,4368,True,sighted
5,AT004,22,0,right,ID017,right,towards,4,4,3088,True,sighted
5,AT004,23,0,right,ID015,left,away,4,4,3248,True,sighted
5,AT004,24,3,left,ID017,left,towards,-10,10,5272,True,sighted
5,AT004,25,2,left,ID017,left,towards,-5,5,3799,True,sighted
5,AT004,26,3,right,ID015,left,away,11,11,5367,True,sighted
5,AT004,27,3,left,ID015,left,towards,-10,10,4472,True,sighted
5,AT004,28,1,left,ID017,left,towards,-6,6,3520,True,sighted
5,AT004,29,1,right,ID017,right,towards,6,6,3367,True,sighted
5,AT004,30,3,left,ID017,right,away,-15,15,8240,True,sighted
5,AT004,31,2,left,ID015,left,towards,-6,6,7359,True,sighted
6,AT004,0,1,left,ID017,right,away,-12,12,26119,True,sighted
6,AT004,1,0,right,ID017,right,towards,-1,1,294,False,sighted
6,AT004,2,0,right,ID015,left,away,0,0,256,False,sighted
6,AT004,3,1,left,ID017,left,towards,0,0,215,False,sighted
6,AT004,4,2,left,ID017,right,away,0,0,207,False,sighted
6,AT004,5,2,right,ID017,left,away,0,0,215,False,sighted
6,AT004,6,3,right,ID015,left,away,0,0,215,False,sighted
6,AT004,7,3,left,ID015,left,towards,0,0,215,False,sighted
6,AT004,8,2,left,ID015,right,away,0,0,288,False,sighted
6,AT004,9,3,left,ID017,right,away,0,0,183,False,sighted
6,AT004,10,0,right,ID017,left,away,0,0,231,False,sighted
6,AT004,11,2,right,ID015,left,away,0,0,223,False,sighted
6,AT004,12,3,right,ID017,left,away,0,0,216,False,sighted
6,AT004,13,0,left,ID015,right,away,-1,1,206,False,sighted
6,AT004,14,1,right,ID015,right,towards,2,2,1975,False,sighted
6,AT004,15,3,left,ID017,left,towards,0,0,279,False,sighted
6,AT004,16,2,left,ID017,left,towards,0,0,215,False,sighted
6,AT004,17,3,right,ID015,right,towards,1,1,199,False,sighted
6,AT004,18,1,right,ID015,left,away,0,0,207,False,sighted
6,AT004,19,0,left,ID017,right,away,0,0,223,False,sighted
6,AT004,20,3,right,ID017,right,towards,-1,1,230,False,sighted
6,AT004,21,1,left,ID015,right,away,0,0,305,False,sighted
6,AT004,22,1,left,ID015,left,towards,0,0,215,False,sighted
6,AT004,23,1,right,ID017,left,away,0,0,223,False,sighted
6,AT004,24,0,left,ID015,left,towards,0,0,207,False,sighted
6,AT004,25,0,left,ID017,left,towards,-1,1,207,False,sighted
6,AT004,26,2,left,ID015,left,towards,0,0,231,False,sighted
6,AT004,27,1,right,ID017,right,towards,-1,1,207,False,sighted
6,AT004,28,3,left,ID015,right,away,0,0,215,False,sighted
6,AT004,29,2,right,ID017,right,towards,1,1,215,False,sighted
6,AT004,30,0,right,ID015,right,towards,0,0,247,False,sighted
6,AT004,31,2,right,ID015,right,towards,0,0,247,False,sighted
6,AT004,32,2,right,ID015,right,towards,-1,1,479,False,sighted
6,AT004,33,2,right,ID015,right,towards,-1,1,718,False,sighted
6,AT004,34,2,right,ID015,right,towards,-2,2,991,False,sighted
6,AT004,35,2,right,ID015,right,towards,-2,2,1239,False,sighted
6,AT004,36,2,right,ID015,right,towards,-1,1,1479,False,sighted
6,AT004,37,2,right,ID015,right,towards,-3,3,1751,False,sighted
6,AT004,38,2,right,ID015,right,towards,-2,2,1991,False,sighted
6,AT004,39,2,right,ID015,right,towards,-2,2,2231,False,sighted
7,AT004,0,3,right,ID015,left,away,0,0,14318,False,sighted
7,AT004,1,0,right,ID015,right,towards,0,0,1494,False,sighted
7,AT004,2,3,right,ID017,right,towards,0,0,1151,False,sighted
7,AT004,3,0,left,ID015,left,towards,0,0,720,False,sighted
7,AT004,4,0,left,ID017,right,away,0,0,367,False,sighted
7,AT004,5,1,right,ID017,left,away,0,0,240,False,sighted
7,AT004,6,2,right,ID017,left,away,0,0,231,False,sighted
7,AT004,7,3,left,ID017,left,towards,0,0,479,False,sighted
7,AT004,8,0,left,ID015,right,away,0,0,247,False,sighted
7,AT004,9,2,left,ID015,right,away,0,0,231,False,sighted
7,AT004,10,1,left,ID015,left,towards,0,0,231,False,sighted
7,AT004,11,2,left,ID017,right,away,0,0,207,False,sighted
7,AT004,12,1,left,ID017,left,towards,0,0,231,False,sighted
7,AT004,13,1,left,ID015,right,away,0,0,247,False,sighted
7,AT004,14,0,left,ID017,left,towards,0,0,351,False,sighted
7,AT004,15,0,right,ID017,left,away,0,0,1543,False,sighted
7,AT004,16,1,right,ID015,right,towards,0,0,7056,False,sighted
7,AT004,17,2,right,ID015,left,away,0,0,319,False,sighted
7,AT004,18,3,left,ID015,right,away,0,0,319,False,sighted
7,AT004,19,0,right,ID017,right,towards,0,0,247,False,sighted
7,AT004,20,2,right,ID015,right,towards,0,0,240,False,sighted
