face_id,mean,std,sem,n_subjects,t_stat,p_value
ID015,0.1013119533527697,1.9762378114182857,0.16299734748643774,147,0.621555840724337,0.5352032746192686
ID017,0.23899217221135027,1.93242017064723,0.22617267363749421,73,1.056680138973831,0.2941902250331972
ID030,0.16843629343629343,2.436404716681457,0.2832262953385234,74,0.5947057042672244,0.5538790927568272
