user_number,face_id,tubeTypeIndex,pair_type,d
23,ID015,1,FaceRight,8
23,ID015,0,FaceLeft,1
23,ID015,0,FaceRight,11
23,ID015,3,FaceLeft,19
23,ID015,2,FaceLeft,4
23,ID015,2,FaceRight,20
23,ID017,0,FaceLeft,4
23,ID017,0,FaceRight,5
23,ID017,2,FaceLeft,17
23,ID017,2,FaceRight,14
23,ID017,3,FaceLeft,13
23,ID017,3,FaceRight,7
23,ID017,1,FaceLeft,6
23,ID017,1,FaceRight,15
25,ID017,1,FaceLeft,0
25,ID017,1,FaceRight,5
25,ID017,2,FaceLeft,3
25,ID017,2,FaceRight,5
25,ID017,3,FaceLeft,2
25,ID017,3,FaceRight,2
25,ID017,0,FaceLeft,5
25,ID017,0,FaceRight,2
25,ID015,0,FaceLeft,4
25,ID015,0,FaceRight,1
25,ID015,2,FaceLeft,1
25,ID015,2,FaceRight,2
25,ID015,1,FaceLeft,0
25,ID015,1,FaceRight,5
25,ID015,3,FaceLeft,0
25,ID015,3,FaceRight,1
26,ID015,3,FaceLeft,6
26,ID015,3,FaceRight,1
26,ID015,1,FaceLeft,1
26,ID015,1,FaceRight,3
26,ID015,0,FaceLeft,2
26,ID015,0,FaceRight,2
26,ID015,2,FaceLeft,6
26,ID017,3,FaceLeft,1
26,ID017,3,FaceRight,2
26,ID017,2,FaceLeft,6
26,ID017,2,FaceRight,2
26,ID017,0,FaceLeft,4
26,ID017,0,FaceRight,6
26,ID017,1,FaceLeft,2
26,ID017,1,FaceRight,2
27,ID017,1,FaceLeft,6
27,ID017,1,FaceRight,1
27,ID017,0,FaceLeft,5
27,ID017,0,FaceRight,0
27,ID017,3,FaceLeft,0
27,ID017,3,FaceRight,1
27,ID017,2,FaceLeft,0
27,ID017,2,FaceRight,1
27,ID015,2,FaceLeft,2
27,ID015,2,FaceRight,1
27,ID015,3,FaceLeft,2
27,ID015,3,FaceRight,0
27,ID015,0,FaceLeft,1
27,ID015,0,FaceRight,0
27,ID015,1,FaceLeft,1
27,ID015,1,FaceRight,1
29,ID017,1,FaceLeft,4
29,ID017,1,FaceRight,2
29,ID017,0,FaceLeft,0
29,ID017,0,FaceRight,3
29,ID017,2,FaceLeft,0
29,ID017,2,FaceRight,1
29,ID017,3,FaceLeft,6
29,ID015,1,FaceLeft,0
29,ID015,1,FaceRight,6
29,ID015,2,FaceLeft,0
29,ID015,2,FaceRight,5
29,ID015,0,FaceLeft,0
29,ID015,0,FaceRight,4
29,ID015,3,FaceLeft,3
29,ID015,3,FaceRight,2
30,ID015,0,FaceLeft,1
30,ID015,0,FaceRight,2
30,ID015,1,FaceLeft,2
30,ID015,1,FaceRight,0
30,ID015,3,FaceLeft,2
30,ID015,3,FaceRight,4
30,ID015,2,FaceLeft,0
30,ID015,2,FaceRight,0
30,ID017,0,FaceLeft,1
30,ID017,0,FaceRight,1
30,ID017,1,FaceLeft,8
30,ID017,1,FaceRight,3
30,ID017,3,FaceLeft,6
30,ID017,3,FaceRight,0
30,ID017,2,FaceLeft,5
30,ID017,2,FaceRight,7
31,ID017,0,FaceLeft,4
31,ID017,0,FaceRight,4
31,ID017,1,FaceLeft,8
31,ID017,1,FaceRight,5
31,ID017,3,FaceRight,4
31,ID017,2,FaceLeft,1
31,ID017,2,FaceRight,5
31,ID015,0,FaceLeft,1
31,ID015,0,FaceRight,4
31,ID015,3,FaceLeft,19
31,ID015,3,FaceRight,13
31,ID015,1,FaceLeft,2
31,ID015,1,FaceRight,13
31,ID015,2,FaceLeft,4
31,ID015,2,FaceRight,1
32,ID015,1,FaceLeft,7
32,ID015,1,FaceRight,1
32,ID015,3,FaceLeft,11
32,ID015,3,FaceRight,3
32,ID015,0,FaceLeft,2
32,ID015,0,FaceRight,3
32,ID015,2,FaceLeft,2
32,ID015,2,FaceRight,0
32,ID017,2,FaceLeft,1
32,ID017,2,FaceRight,3
32,ID017,1,FaceLeft,1
32,ID017,1,FaceRight,2
32,ID017,0,FaceLeft,2
32,ID017,0,FaceRight,2
32,ID017,3,FaceLeft,6
32,ID017,3,FaceRight,6
34,ID015,0,FaceLeft,3
34,ID015,0,FaceRight,3
34,ID015,1,FaceLeft,2
34,ID015,1,FaceRight,4
34,ID015,3,FaceLeft,3
34,ID015,3,FaceRight,9
34,ID015,2,FaceLeft,1
34,ID015,2,FaceRight,0
34,ID017,1,FaceLeft,6
34,ID017,1,FaceRight,5
34,ID017,2,FaceLeft,6
34,ID017,2,FaceRight,4
34,ID017,3,FaceLeft,4
34,ID017,3,FaceRight,0
34,ID017,0,FaceLeft,5
34,ID017,0,FaceRight,1
36,ID017,1,FaceLeft,1
36,ID017,1,FaceRight,1
36,ID017,0,FaceLeft,4
36,ID017,2,FaceLeft,1
