user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,latency
4,AT004,24,1,right,ID001,left,away,18,6038
4,AT004,25,3,left,ID001,right,away,-29,8982
4,AT004,26,0,right,ID001,left,away,8,5133
4,AT004,27,0,right,ID022,right,towards,9,7316
4,AT004,28,0,left,ID022,right,away,-7,4307
4,AT004,29,2,right,ID022,right,towards,10,4544
4,AT004,30,3,right,ID022,left,away,30,7174
4,AT004,31,3,left,ID022,right,away,-23,7873
5,AT004,0,1,right,ID022,right,towards,6,122704
5,AT004,1,3,right,ID022,right,towards,5,8912
5,AT004,2,0,right,ID022,right,towards,10,5304
5,AT004,3,0,left,ID001,left,towards,-9,6352
5,AT004,4,3,right,ID001,left,away,19,8816
5,AT004,5,2,left,ID001,right,away,-4,6127
5,AT004,6,1,left,ID022,right,away,-10,4857
5,AT004,7,2,right,ID001,right,towards,5,7448
5,AT004,8,2,left,ID022,right,away,-5,3328
5,AT004,9,3,left,ID022,right,away,-20,15030
5,AT004,10,0,left,ID022,right,away,-4,4344
5,AT004,11,2,right,ID022,right,towards,5,3679
5,AT004,12,2,right,ID001,left,away,5,3864
5,AT004,13,1,left,ID022,left,towards,-15,5160
5,AT004,14,0,left,ID022,left,towards,-5,2824
5,AT004,15,2,right,ID022,left,away,4,3760
5,AT004,16,3,right,ID001,right,towards,11,5072
5,AT004,17,1,right,ID022,left,away,7,3696
5,AT004,18,1,right,ID001,left,away,6,4295
5,AT004,19,0,right,ID001,left,away,4,2801
5,AT004,20,0,left,ID001,right,away,-4,3935
5,AT004,21,1,left,ID001,right,away,-7,4368
5,AT004,22,0,right,ID001,right,towards,4,3088
5,AT004,23,0,right,ID022,left,away,4,3248
5,AT004,24,3,left,ID001,left,towards,-10,5272
5,AT004,25,2,left,ID001,left,towards,-5,3799
5,AT004,26,3,right,ID022,left,away,11,5367
5,AT004,27,3,left,ID022,left,towards,-10,4472
5,AT004,28,1,left,ID001,left,towards,-6,3520
